number 	label count company index
10086	 null	 0	 中国移动客服	 0
4001068003	 骚扰电话	 55250	 0	 10
075595511	 保险	 2178	 0	 2
02195512	 保险	 2387	 0	 2
01095510	 保险	 4849	 0	 2
4008839258	 骚扰电话	 20589	 0	 10
10000	 null	 0	 中国电信客服	 0
4001011982	 骚扰电话	 5387	 0	 10
02195511	 保险	 2511	 0	 2
1008611	 null	 0	 中国移动话费查询	 0
02110108888	 保险	 2904	 0	 2
02895510	 保险	 2288	 0	 2
95518	 null	 0	 中国人民财产保险	 0
10010	 null	 0	 中国联通崇福营业厅	 0
4008688888	 null	 0	 太平人寿网上商城客服电话	 0
+0196852202	 诈骗	 3310	 0	 1
666666	 快递	 175	 0	 8
66666	 骚扰电话	 78	 0	 10
4008777777	 null	 0	 中国人寿客服电话	 0
888888	 其他	 181	 0	 9
10016	 null	 0	 中国联通陕西分公司电话营销专线	 0
02895550	 保险	 669	 0	 2
10085	 null	 0	 移动电话经理	 0
045195105132	 诈骗	 5986	 0	 1
02195590	 保险	 723	 0	 2
02138510088	 推销	 418	 0	 6
4000818818	 推销	 11104	 0	 6
02795522	 保险	 1576	 0	 2
02795500	 保险	 603	 0	 2
10088	 其他	 11	 0	 9
68888	 骚扰电话	 72	 0	 10
01095522	 保险	 1102	 0	 2
04008839258	 骚扰电话	 6941	 0	 10
055165198880	 骚扰电话	 588	 0	 10
02138510126	 骚扰电话	 171	 0	 10
+0190852203	 骚扰电话	 383	 0	 10
02995500	 推销	 4573	 0	 6
02759233515
+0196852201	 骚扰电话	 1513	 0	 10
4001060609	 骚扰电话	 103	 0	 10
02138510106
04001068003	 骚扰电话	 2286	 0	 10
688888	 其他	 91	 0	 9
4009668668	 骚扰电话	 951	 0	 10
15369227203
10018	 null	 0	 客户俱乐部服务热线	 0
02110086	 推销	 380	 0	 6
95588	 null	 0	 工商银行万泰支行	 0
02110105555	 推销	 3101	 0	 6
02110100000	 推销	 213	 0	 6
+01901212	 骚扰电话	 8293	 0	 10
02120219999	 骚扰电话	 2771	 0	 10
18771936707
02010131899	 快递	 1466	 0	 8
02096585	 快递	 313	 0	 8
69999	 骚扰电话	 41	 0	 10
95511	 null	 0	 中国平安保险	 0
02161136666	 快递	 155	 0	 8
02010010	 推销	 776	 0	 6
01095595	 快递	 84	 0	 8
13800592107
020116114	 快递	 1008	 0	 8
04765872777
02151319888	 保险	 810	 0	 2
0294008005800	 骚扰电话	 3895	 0	 10
051295511	 保险	 28	 0	 2
66888	 骚扰电话	 38	 0	 10
05356303456	 骚扰电话	 2771	 0	 10
118114	 null	 0	 2010年武汉市中考成绩查询热线	 0
04001011982	 骚扰电话	 937	 0	 10
02195550	 保险	 176	 0	 2
059138168809	 骚扰电话	 2742	 0	 10
100003	 快递	 117	 0	 8
02895568	 推销	 140	 0	 6
051595510	 骚扰电话	 4330	 0	 10
+17901
04762891136	 骚扰电话	 161	 0	 10
01053256293	 骚扰电话	 178	 0	 10
12530999	 骚扰电话	 1250	 0	 10
67777	 诈骗	 23	 0	 1
4008305555	 null	 0	 德邦物流客服电话	 0
66999	 骚扰电话	 22	 0	 10
4008000111	 保险	 962	 0	 2
075510010	 推销	 547	 0	 6
+0190852213	 骚扰电话	 1323	 0	 10
10011	 null	 0	 中国联通充值电话	 0
052788105500	 推销	 44	 0	 6
18402940000	 骚扰电话	 167	 0	 10
65555	 骚扰电话	 24	 0	 10
04762891133	 诈骗	 186	 0	 1
0118114	 推销	 1976	 0	 6
4008695508	 诈骗	 2090	 0	 1
075528560888	 其他	 138	 0	 9
075561555796	 骚扰电话	 216	 0	 10
04762891135	 骚扰电话	 124	 0	 10
075529614599	 骚扰电话	 631	 0	 10
02160437437	 骚扰电话	 456	 0	 10
4008001008	 null	 0	 友邦保险	 0
075561115783	 骚扰电话	 348	 0	 10
075561115786	 骚扰电话	 245	 0	 10
057423629857	 骚扰电话	 787	 0	 10
61111	 骚扰电话	 25	 0	 10
02160437461	 骚扰电话	 426	 0	 10
02160437485	 骚扰电话	 418	 0	 10
4008000000	 推销	 473	 0	 6
057187153588	 推销	 496	 0	 6
02160437414	 骚扰电话	 433	 0	 10
668888	 快递	 50	 0	 8
05552960040
12590158	 推销	 1406	 0	 6
05552960041
075561552500	 骚扰电话	 298	 0	 10
051210086	 推销	 444	 0	 6
625175
02495508	 推销	 393	 0	 6
666888	 快递	 46	 0	 8
0125903160	 骚扰电话	 1216	 0	 10
